Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-4,Myo1e,0.085,0.447,0.1901566,3.61E-36,-3.194658308
PVT-2,Sema3a,0.048,0.25,0.192,5.45E-60,-3.036186663
PVT-2,Smpdl3b,0.005,0.026,0.192307692,0.021603978,-2.16578721
PVT-4,Fstl1,0.028,0.145,0.193103448,5.74E-06,-2.758046546
PVT-4,Fbln5,0.028,0.145,0.193103448,5.99E-06,-2.755875446
PVT-2,Gm13261,0.006,0.031,0.193548387,0.000755442,-2.291318092
PVT-3,Grip2,0.042,0.217,0.193548387,1.30E-07,-2.600740374
PVT-3,Igfbp7,0.106,0.546,0.194139194,5.93E-36,-3.023152483
PVT-3,Igf1,0.094,0.476,0.197478992,1.98E-29,-3.303554241
PVT-3,Rcsd1,0.026,0.131,0.198473282,0.013667606,-2.031125838
PVT-1,Echdc2,0.008,0.04,0.2,0.004664897,-2.40015725
PVT-3,Gm48727,0.064,0.314,0.203821656,4.65E-13,-2.342412971
PVT-3,Slc44a5,0.098,0.475,0.206315789,6.58E-28,-3.386045503
PVT-2,C79798,0.018,0.087,0.206896552,1.67E-15,-2.586823449
PVT-2,Trhr,0.006,0.029,0.206896552,0.004082663,-2.388179631
PVT-4,Itga4,0.022,0.106,0.20754717,0.006373952,-2.082342421
PVT-2,Kcnh4,0.01,0.048,0.208333333,5.19E-07,-2.36043464
PVT-2,Sphk1,0.005,0.024,0.208333333,0.030625513,-2.258896614
PVT-4,Rcsd1,0.028,0.134,0.208955224,7.41E-05,-2.52804094
PVT-2,Ccdc187,0.025,0.119,0.210084034,1.09E-22,-2.612853563
PVT-1,Eya1,0.008,0.038,0.210526316,0.042691242,-1.831168385
PVT-2,Gm12631,0.008,0.038,0.210526316,4.59E-05,-2.321906411
PVT-1,Gm16267,0.019,0.09,0.211111111,3.68E-10,-2.422418861
PVT-3,Cdk6,0.026,0.123,0.211382114,0.040008532,-2.470057004
PVT-4,Bmp6,0.044,0.206,0.213592233,1.24E-09,-2.58173462
PVT-2,Col13a1,0.009,0.042,0.214285714,2.26E-05,-2.232129704
PVT-2,Hpgd,0.009,0.042,0.214285714,3.39E-05,-2.258896614
PVT-4,Cnksr3,0.069,0.322,0.214285714,4.67E-20,-2.936794557
PVT-2,Cacna1h,0.016,0.074,0.216216216,1.83E-12,-2.379912015
PVT-1,Cyp4f16,0.013,0.06,0.216666667,2.64E-05,-2.094744242
PVT-2,Tead4,0.012,0.055,0.218181818,7.91E-08,-2.097615707
PVT-4,Egfl6,0.03,0.137,0.218978102,0.00022069,-1.74257096
PVT-2,Gda,0.022,0.1,0.22,2.66E-18,-2.839659126
PVT-3,Rab37,0.03,0.136,0.220588235,0.013203486,-2.313746069
PVT-2,Mylk,0.06,0.271,0.221402214,4.33E-62,-3.032456486
PVT-4,Cwh43,0.039,0.176,0.221590909,3.51E-07,-2.147696159
PVT-4,Abcc8,0.041,0.185,0.221621622,1.36E-07,-2.131498931
PVT-2,Grpr,0.006,0.027,0.222222222,0.035814666,-2.050309992
PVT-3,Egfl6,0.03,0.134,0.223880597,0.017806594,-2.341096557
PVT-2,Col18a1,0.042,0.186,0.225806452,9.69E-37,-2.468760361
PVT-2,Dlk1,0.019,0.084,0.226190476,6.98E-14,-2.182027851
PVT-1,Pxylp1,0.012,0.053,0.226415094,0.000297634,-2.24272027
PVT-3,Xylt1,0.098,0.43,0.227906977,9.28E-21,-2.11025541
PVT-3,Tafa4,0.083,0.364,0.228021978,5.33E-17,-2.860037481
PVT-4,Fzd10os,0.025,0.109,0.229357798,0.008085875,-2.042614113
PVT-2,Olfr1208,0.006,0.026,0.230769231,0.034534654,-2.112347951
PVT-4,Col12a1,0.135,0.584,0.231164384,2.04E-54,-3.38267856
PVT-4,Arhgef5,0.039,0.167,0.233532934,2.47E-06,-2.232585057
PVT-4,Gm13944,0.025,0.107,0.23364486,0.012617076,-2.239438728
PVT-2,Syt10,0.128,0.542,0.236162362,3.41E-149,-2.533220062
PVT-1,Gal,0.013,0.055,0.236363636,0.000376756,-2.16121852
PVT-4,Gxylt2,0.036,0.152,0.236842105,3.37E-05,-2.179069547
PVT-3,Gm15680,0.045,0.189,0.238095238,7.24E-05,-2.36294326
PVT-4,Glis1,0.107,0.448,0.238839286,2.86E-31,-2.594686348
PVT-5,Cpa6,0.061,0.255,0.239215686,1.92E-06,-2.934773559
PVT-3,Fbln5,0.034,0.142,0.23943662,0.01625003,-1.617833464
PVT-2,Anxa13,0.012,0.05,0.24,2.17E-06,-1.941469911
PVT-3,Glis1,0.106,0.438,0.242009132,1.47E-22,-2.770548959
PVT-3,Slc27a2,0.038,0.157,0.242038217,0.003395333,-1.895578246
PVT-2,Efhb,0.008,0.033,0.242424242,0.007345812,-1.926321275
PVT-2,Ankdd1a,0.017,0.07,0.242857143,3.68E-10,-2.023768205
PVT-2,Gm42722,0.009,0.037,0.243243243,0.001385266,-2.131435705
PVT-5,Col8a1,0.071,0.289,0.24567474,2.76E-08,-2.955504067
PVT-5,Arhgef26,0.094,0.38,0.247368421,1.08E-12,-2.223010069
PVT-3,Pdia5,0.177,0.714,0.24789916,6.71E-59,-2.902243123
PVT-2,Glis3,0.066,0.264,0.25,3.51E-56,-4.382939178
PVT-2,Gpr26,0.044,0.176,0.25,9.60E-32,-2.123455712
PVT-2,Rasa4,0.044,0.176,0.25,3.04E-31,-2.023768205
PVT-2,Kirrel,0.02,0.08,0.25,3.93E-12,-2.337398588
PVT-2,Stc1,0.014,0.056,0.25,4.07E-07,-1.994418791
PVT-2,Sfrp2,0.007,0.028,0.25,0.036727981,-1.92477911
PVT-3,Gm15902,0.049,0.195,0.251282051,8.49E-05,-1.963572357
PVT-3,Gm28822,0.079,0.313,0.252396166,1.55E-11,-2.361604236
PVT-1,Adam12,0.038,0.15,0.253333333,7.60E-18,-2.642195723
PVT-2,Sv2c,0.035,0.138,0.253623188,3.03E-23,-2.328657453
PVT-2,Gm30504,0.013,0.051,0.254901961,3.20E-06,-1.92477911
PVT-2,Cyp2s1,0.013,0.051,0.254901961,3.21E-06,-1.964153348
PVT-2,Bace2,0.029,0.113,0.256637168,4.09E-18,-2.329285942
PVT-5,Plod2,0.042,0.163,0.257668712,0.043798315,-2.121811346
PVT-3,Onecut2,0.06,0.231,0.25974026,1.14E-06,-2.262215769
PVT-4,Myh14,0.033,0.127,0.25984252,0.002936697,-1.915555761
PVT-4,Ltbp1,0.077,0.296,0.260135135,1.18E-14,-2.305516579
PVT-4,Frem3,0.036,0.138,0.260869565,0.000728623,-1.84776217
PVT-2,Ribc2,0.011,0.042,0.261904762,0.000412821,-1.964874516
PVT-4,Adam12,0.033,0.126,0.261904762,0.002376865,-2.577233228
PVT-5,Itga8,0.165,0.627,0.263157895,1.01E-30,-2.320114271
PVT-4,Mkx,0.174,0.658,0.26443769,1.42E-61,-2.533189383
PVT-1,Gm19744,0.039,0.147,0.265306122,2.50E-16,-2.062186635
PVT-3,Cd44,0.038,0.142,0.267605634,0.027623378,-2.228216821
PVT-1,Rerg,0.034,0.127,0.267716535,6.89E-14,-2.88835631
PVT-1,Gm3294,0.03,0.112,0.267857143,2.90E-11,-2.175197298
PVT-2,Sp9,0.015,0.056,0.267857143,2.05E-06,-1.868521169
PVT-1,St14,0.044,0.164,0.268292683,2.07E-18,-2.074227224
PVT-2,Akr1b8,0.011,0.041,0.268292683,0.000606852,-2.084867214
PVT-2,Rxrg,0.029,0.108,0.268518519,5.40E-16,-1.896970451
PVT-2,Rep15,0.025,0.093,0.268817204,3.75E-13,-1.8817273
PVT-2,Nod2,0.032,0.119,0.268907563,4.51E-18,-1.805675921
PVT-3,Fstl1,0.038,0.141,0.269503546,0.028783414,-2.261131443
PVT-2,Gm13481,0.044,0.163,0.26993865,5.20E-27,-2.17032399
PVT-3,Grid2ip,0.128,0.474,0.270042194,9.83E-23,-2.183701316
PVT-2,Gzmk,0.036,0.133,0.270676692,1.82E-20,-1.802173212
PVT-2,Gm26771,0.032,0.118,0.271186441,5.59E-18,-1.871765111
PVT-3,Gm48748,0.038,0.14,0.271428571,0.047708458,-1.821785112
PVT-1,Gm47352,0.027,0.099,0.272727273,5.69E-09,-1.990172978
PVT-2,Ankfn1,0.044,0.161,0.273291925,3.43E-27,-2.790278074
PVT-3,Col9a3,0.053,0.193,0.274611399,0.000193718,-2.091097964
PVT-4,Epb41l2,0.113,0.411,0.274939173,1.09E-24,-2.20387376
PVT-2,Adamtsl3,0.056,0.203,0.275862069,9.34E-35,-2.217938492
PVT-1,Npsr1,0.025,0.09,0.277777778,1.80E-08,-4.354638346
PVT-3,Arhgef5,0.045,0.162,0.277777778,0.005870009,-2.041656505
PVT-4,Plekhd1,0.047,0.169,0.278106509,2.99E-05,-1.804545712
PVT-2,Megf6,0.041,0.147,0.278911565,1.29E-22,-1.922810456
PVT-2,Tnfaip8l3,0.012,0.043,0.279069767,0.000277271,-1.941469911
PVT-2,Gm36560,0.012,0.043,0.279069767,0.000881164,-1.812150255
PVT-3,Adgrg2,0.091,0.325,0.28,2.42E-11,-2.189247209
PVT-1,Scn7a,0.025,0.089,0.280898876,2.27E-07,-1.880783091
PVT-3,Rassf3,0.068,0.241,0.282157676,2.56E-06,-1.817734491
PVT-2,Gm43948,0.05,0.177,0.282485876,2.47E-28,-2.105207144
PVT-2,Gldc,0.013,0.046,0.282608696,0.00034999,-1.931321956
PVT-3,Tmem163,0.208,0.735,0.282993197,5.66E-58,-2.962803408
PVT-3,Slc38a11,0.042,0.148,0.283783784,0.038792279,-1.687648439
PVT-4,Abhd12b,0.039,0.137,0.284671533,0.001782359,-2.112664143
PVT-3,Bmp6,0.057,0.2,0.285,7.96E-05,-2.590162975
PVT-2,Lrp4,0.02,0.07,0.285714286,1.50E-08,-2.172807637
PVT-4,Neb,0.039,0.136,0.286764706,0.001327077,-2.577763533
PVT-2,Ndst4,0.096,0.334,0.28742515,6.07E-64,-2.527095364
PVT-4,Trpc6,0.072,0.249,0.289156627,3.46E-10,-2.112958801
PVT-2,Trpc5os,0.022,0.076,0.289473684,2.56E-09,-1.724711849
PVT-3,Parva,0.049,0.169,0.289940828,0.005044514,-1.991050787
PVT-2,Hpcal1,0.036,0.124,0.290322581,9.37E-18,-1.956659717
PVT-2,Gm45352,0.026,0.089,0.292134831,3.91E-11,-1.836906354
PVT-2,Gnasas1,0.041,0.14,0.292857143,5.81E-20,-1.719870397
PVT-2,Kcng2,0.029,0.099,0.292929293,3.57E-13,-1.850285384
PVT-3,Shroom4,0.083,0.283,0.293286219,6.57E-09,-2.414402283
PVT-3,Adcy2,0.14,0.477,0.293501048,5.76E-23,-2.645683189
PVT-1,Gsg1l,0.107,0.364,0.293956044,3.78E-53,-2.38281752
PVT-1,Pawr,0.015,0.051,0.294117647,0.013719305,-1.907117238
PVT-2,Thbs2,0.01,0.034,0.294117647,0.02234871,-1.843859115
PVT-4,Gm5149,0.05,0.17,0.294117647,4.65E-05,-1.747158229
PVT-5,Trpc6,0.071,0.241,0.294605809,0.000100536,-2.368927633
PVT-2,Slc29a4,0.028,0.095,0.294736842,4.07E-12,-1.872428267
PVT-3,Slit2,0.072,0.244,0.295081967,6.05E-07,-3.307982198
PVT-2,Satb2,0.045,0.152,0.296052632,9.33E-23,-2.30212961
PVT-3,Galr1,0.072,0.242,0.297520661,3.87E-06,-1.87653249
PVT-2,Slc17a8,0.026,0.087,0.298850575,2.14E-10,-1.718328233
PVT-2,Tspan11,0.012,0.04,0.3,0.003111735,-1.62626768
PVT-2,Gm31409,0.012,0.04,0.3,0.005888526,-1.813485466
PVT-3,Cnksr3,0.094,0.313,0.300319489,1.86E-10,-2.439879455
PVT-4,Tll1,0.187,0.622,0.300643087,3.93E-51,-2.697261226
PVT-2,Lamb1,0.043,0.143,0.300699301,3.19E-20,-1.993372656
PVT-2,Rflna,0.022,0.073,0.301369863,2.58E-08,-1.715125801
PVT-3,Pde3a,0.087,0.287,0.303135889,1.54E-08,-2.329044695
