Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-1,Mylk,0.111,0.196,0.566326531,3.86E-07,-1.649663865
PVT-3,Adamts6,0.396,0.697,0.568149211,7.73E-17,-1.11708404
PVT-2,Mylip,0.079,0.139,0.568345324,0.000187849,-0.843859115
PVT-4,Arap2,0.157,0.276,0.56884058,0.009278199,-1.013311977
PVT-2,Gm28756,0.19,0.334,0.568862275,1.35E-19,-0.982262729
PVT-3,Gm20713,0.242,0.425,0.569411765,5.22E-07,-1.581589642
PVT-2,Ccdc88c,0.127,0.223,0.569506726,2.77E-10,-0.951749838
PVT-1,Trpm6,0.212,0.372,0.569892473,4.91E-21,-1.342513825
PVT-2,Adamts18,0.089,0.156,0.570512821,9.38E-06,-1.018356846
PVT-2,Tspan9,0.105,0.184,0.570652174,2.32E-07,-1.0003636
PVT-2,Rimklb,0.217,0.38,0.571052632,1.13E-21,-0.807915675
PVT-4,Gpld1,0.237,0.415,0.571084337,1.55E-07,-0.990544734
PVT-1,Dscaml1,0.08,0.14,0.571428571,0.00223888,-1.491071214
PVT-2,Ctbp2,0.092,0.161,0.571428571,1.32E-05,-0.828091799
PVT-4,Adgrl2,0.43,0.752,0.571808511,1.04E-28,-1.134036741
PVT-2,Gm3693,0.158,0.276,0.572463768,4.57E-13,-0.803089509
PVT-2,Zim1,0.079,0.138,0.572463768,0.000341871,-0.753093651
PVT-2,Gm15624,0.063,0.11,0.572727273,0.016498491,-0.795360597
PVT-3,Cpq,0.272,0.474,0.573839662,1.14E-07,-1.323492109
PVT-2,Gm37229,0.066,0.115,0.573913043,0.008207523,-0.827495668
PVT-2,Gm48855,0.062,0.108,0.574074074,0.01292639,-0.781931366
PVT-2,Gm13561,0.062,0.108,0.574074074,0.018310695,-0.864558107
PVT-2,Gm45645,0.275,0.479,0.574112735,5.77E-34,-0.978608527
PVT-2,Gm16152,0.112,0.195,0.574358974,1.77E-07,-0.794727407
PVT-4,Afap1,0.242,0.421,0.574821853,6.83E-08,-1.083441617
PVT-2,Necab2,0.338,0.588,0.574829932,1.11E-49,-1.007921877
PVT-3,Dnah7b,0.226,0.393,0.575063613,0.000114662,-1.226290159
PVT-3,Col25a1,0.532,0.925,0.575135135,1.76E-90,-3.126299998
PVT-2,Stxbp2,0.084,0.146,0.575342466,0.000222196,-0.76707788
PVT-1,Lgi2,0.076,0.132,0.575757576,0.029808612,-0.989379261
PVT-2,Kctd8,0.513,0.891,0.575757576,6.18E-262,-2.217913788
PVT-2,Gm48770,0.106,0.184,0.576086957,4.81E-07,-0.826985296
PVT-2,Scube2,0.2,0.347,0.576368876,9.27E-18,-0.787902709
PVT-2,Gm9947,0.06,0.104,0.576923077,0.046488322,-0.689247169
PVT-3,Samd5,0.555,0.961,0.577523413,4.94E-89,-2.102290324
PVT-2,Gm15527,0.063,0.109,0.577981651,0.012685421,-0.855733215
PVT-2,Sp3os,0.092,0.159,0.578616352,4.57E-05,-0.763688766
PVT-1,Tiam2,0.125,0.216,0.578703704,9.95E-07,-1.044620762
PVT-5,Galnt18,0.448,0.774,0.57881137,1.27E-21,-1.548349567
PVT-2,Eepd1,0.11,0.19,0.578947368,1.27E-06,-0.72294979
PVT-2,Cox6a2,0.077,0.133,0.578947368,0.004554746,-0.538513904
PVT-3,Srrm4os,0.253,0.437,0.578947368,4.78E-05,-0.96721436
PVT-2,Slc16a6,0.183,0.316,0.579113924,2.20E-15,-0.816620514
PVT-5,Xylt1,0.241,0.416,0.579326923,6.55E-05,-1.62979463
PVT-2,Gm12120,0.073,0.126,0.579365079,0.003431228,-0.722017992
PVT-3,Calb1,0.366,0.631,0.580031696,2.35E-15,-1.183739467
PVT-4,Igfbp7,0.311,0.536,0.580223881,2.01E-10,-0.922039363
PVT-3,Cdh8,0.472,0.813,0.580565806,2.24E-41,-2.110092985
PVT-1,Plekhd1,0.104,0.179,0.581005587,0.000108955,-1.024354914
PVT-3,Car8,0.215,0.37,0.581081081,0.010317048,-0.840184122
PVT-4,Rreb1,0.394,0.678,0.581120944,2.70E-27,-1.41952194
PVT-2,Pfkfb4,0.168,0.289,0.581314879,2.26E-13,-0.823452904
PVT-2,Gm11802,0.171,0.294,0.581632653,3.11E-13,-0.798923883
PVT-2,Gm44257,0.128,0.22,0.581818182,1.05E-08,-0.788149682
PVT-2,Wfs1,0.067,0.115,0.582608696,0.013574434,-0.815625434
PVT-3,Synpr,0.208,0.357,0.582633053,0.002544686,-1.248427274
PVT-2,Sept9,0.15,0.257,0.583657588,4.83E-11,-0.768493852
PVT-5,Spats2l,0.401,0.687,0.583697234,6.85E-14,-1.151879016
PVT-2,Panx1,0.101,0.173,0.583815029,1.61E-05,-0.749815625
PVT-2,Mast3,0.174,0.298,0.583892617,1.17E-12,-0.658941399
PVT-1,Pcsk1,0.086,0.147,0.585034014,0.01069625,-0.858870794
PVT-2,Drc1,0.172,0.294,0.585034014,5.47E-13,-0.726819693
PVT-4,St3gal4,0.251,0.429,0.585081585,3.29E-08,-1.138544461
PVT-2,Gemin8,0.079,0.135,0.585185185,0.001635434,-0.733382578
PVT-3,Olfm2,0.343,0.586,0.585324232,1.07E-08,-0.828779359
PVT-4,Etv6,0.267,0.456,0.585526316,4.27E-09,-1.091229207
PVT-2,Spns2,0.126,0.215,0.586046512,4.36E-08,-0.760374129
PVT-2,Bcl11a,0.281,0.479,0.586638831,3.80E-33,-1.009897194
PVT-3,Rph3a,0.517,0.881,0.586833144,1.26E-50,-1.597245267
PVT-2,Ninl,0.128,0.218,0.587155963,1.85E-08,-0.85466587
PVT-2,Gm3364,0.097,0.165,0.587878788,4.41E-05,-0.712262232
PVT-5,Gm48321,0.274,0.466,0.587982833,4.18E-05,-1.170556663
PVT-2,Spata6,0.157,0.267,0.588014981,6.66E-12,-0.829919924
PVT-1,Kcnk9,0.096,0.163,0.588957055,0.001657528,-0.970115326
PVT-1,March11,0.142,0.241,0.589211618,7.57E-08,-1.034744757
PVT-2,Elk3,0.089,0.151,0.589403974,0.000174565,-0.788211085
PVT-2,Dnah1,0.079,0.134,0.589552239,0.003157047,-0.76302804
PVT-2,Fndc1,0.102,0.173,0.589595376,2.70E-05,-0.672092766
PVT-2,Spint2,0.128,0.217,0.589861751,3.59E-08,-0.781737403
PVT-2,Celf6,0.294,0.498,0.590361446,2.03E-30,-0.809612456
PVT-2,Gm47661,0.176,0.298,0.590604027,6.53E-14,-0.856715807
PVT-2,Dsc2,0.087,0.147,0.591836735,0.000668727,-0.73434563
PVT-2,Tmem150cos,0.074,0.125,0.592,0.01057096,-0.698428675
PVT-2,AC163638.2,0.077,0.13,0.592307692,0.005121067,-0.66540248
PVT-4,Kcnh5,0.419,0.707,0.592644979,6.93E-19,-0.866701042
PVT-2,Gm42948,0.249,0.42,0.592857143,5.12E-22,-0.76112273
PVT-1,Kcnk2,0.183,0.308,0.594155844,1.03E-12,-1.162837836
PVT-3,Sema3e,0.208,0.35,0.594285714,0.00447156,-1.312815598
PVT-2,Gm15834,0.107,0.18,0.594444444,1.63E-05,-0.709957828
PVT-2,Bche,0.066,0.111,0.594594595,0.035681211,-0.809643399
PVT-2,Gm16226,0.196,0.329,0.595744681,3.60E-14,-0.682772916
PVT-2,Plod2,0.115,0.193,0.595854922,2.76E-06,-0.74996755
PVT-2,Susd1,0.118,0.198,0.595959596,8.50E-07,-0.846568402
PVT-2,Dglucy,0.121,0.203,0.596059113,1.72E-06,-0.673604994
PVT-2,Gm16036,0.105,0.176,0.596590909,2.24E-05,-0.743457218
PVT-4,Ttc39b,0.245,0.41,0.597560976,1.34E-06,-1.078839982
PVT-5,Zfpm2,0.354,0.592,0.597972973,6.52E-07,-1.218985889
PVT-2,Trmt10a,0.079,0.132,0.598484848,0.004190882,-0.764595836
PVT-2,Pde9a,0.37,0.618,0.598705502,3.33E-54,-0.997158277
PVT-3,Rbms1,0.415,0.692,0.599710983,1.98E-19,-1.442379703
PVT-5,Rarb,0.439,0.732,0.599726776,3.36E-12,-0.920462955
PVT-3,Cpne9,0.351,0.585,0.6,1.39E-09,-0.973456275
PVT-4,Ptchd1,0.218,0.363,0.600550964,0.000105659,-1.058359918
PVT-2,Nfkb2,0.095,0.158,0.601265823,0.000391252,-0.710833696
PVT-5,Cntnap5b,0.377,0.627,0.601275917,8.00E-09,-1.339537037
PVT-2,Efcab1,0.311,0.517,0.601547389,8.15E-35,-0.91093278
PVT-1,Pam,0.467,0.776,0.601804124,2.95E-91,-1.48674208
PVT-2,Man1a,0.198,0.329,0.601823708,2.54E-13,-0.689920816
PVT-2,Tmem35a,0.103,0.171,0.602339181,0.000159258,-0.583506299
PVT-2,Zfhx2os,0.155,0.257,0.60311284,2.31E-09,-0.713882328
PVT-2,Gm28403,0.087,0.144,0.604166667,0.002408646,-0.718987148
PVT-2,Ikbip,0.087,0.144,0.604166667,0.003736163,-0.672926293
PVT-2,Notch2,0.176,0.291,0.604810997,2.16E-11,-0.719314017
PVT-4,Osbpl3,0.399,0.659,0.605462822,9.55E-21,-1.222547958
PVT-2,Bmper,0.08,0.132,0.606060606,0.00404362,-1.107503669
PVT-4,Fam81a,0.3,0.495,0.606060606,9.81E-09,-0.903352161
PVT-2,Naaa,0.091,0.15,0.606666667,0.001588638,-0.74908089
PVT-2,Myo16,0.28,0.461,0.607375271,7.04E-25,-0.841494686
PVT-2,Gm14401,0.082,0.135,0.607407407,0.00868467,-0.737628789
PVT-2,Gm48003,0.113,0.186,0.607526882,4.26E-05,-0.539649746
PVT-3,Khdrbs3,0.562,0.925,0.607567568,1.28E-66,-1.777432819
PVT-4,Chrm2,0.449,0.739,0.607577808,2.56E-38,-1.917980302
PVT-2,Ccdc77,0.186,0.306,0.607843137,6.70E-13,-0.819229448
PVT-3,Ust,0.264,0.434,0.608294931,0.000163882,-1.132053262
PVT-3,Lypd6b,0.328,0.539,0.608534323,1.33E-07,-0.967384597
PVT-3,Pde7b,0.521,0.856,0.60864486,2.23E-40,-1.590452218
PVT-4,Zdhhc22,0.204,0.335,0.608955224,0.002981232,-0.912217476
PVT-2,Gm12227,0.086,0.141,0.609929078,0.005943893,-0.700987033
PVT-3,Gab2,0.453,0.742,0.610512129,1.26E-19,-1.202098679
PVT-4,Tom1l1,0.215,0.352,0.610795455,0.000506931,-0.950300172
PVT-3,Aff2,0.555,0.908,0.61123348,2.95E-48,-1.504078596
PVT-2,Drp2,0.252,0.412,0.611650485,3.64E-20,-0.759618594
PVT-2,Sox11,0.194,0.317,0.611987382,1.12E-12,-0.738951139
PVT-2,Plk2,0.098,0.16,0.6125,0.001804016,-0.583583209
PVT-2,Gm26673,0.171,0.279,0.612903226,2.99E-10,-0.672951016
PVT-2,Arhgap42,0.244,0.398,0.613065327,4.77E-20,-0.874783688
PVT-3,Slc29a1,0.26,0.424,0.613207547,0.000351624,-0.986552802
PVT-3,Plxdc2,0.479,0.781,0.613316261,7.43E-29,-1.445499418
PVT-4,Deptor,0.303,0.494,0.613360324,9.58E-09,-0.968809984
PVT-2,Vgf,0.159,0.259,0.613899614,9.23E-09,-0.790701179
PVT-2,Csmd2os,0.164,0.267,0.61423221,3.61E-09,-0.673934113
PVT-4,Pamr1,0.309,0.503,0.614314115,3.51E-10,-1.043326379
PVT-2,Gm15942,0.091,0.148,0.614864865,0.003557871,-0.711103906
PVT-2,Tm7sf3,0.24,0.39,0.615384615,2.63E-17,-0.680261395
PVT-2,Atp8b5,0.08,0.13,0.615384615,0.015724448,-0.725214618
PVT-2,Angpt1,0.101,0.164,0.615853659,0.001033764,-0.565210084
PVT-2,Greb1l,0.263,0.427,0.615925059,1.05E-22,-0.892077062
PVT-2,Gm4117,0.114,0.185,0.616216216,9.14E-05,-0.707680988
PVT-2,Ppfibp1,0.379,0.615,0.616260163,4.05E-52,-0.989308024
PVT-4,Lypd6b,0.336,0.545,0.616513761,2.70E-09,-0.722645831
PVT-3,Adamtsl1,0.275,0.446,0.616591928,2.42E-05,-1.372581423
PVT-2,Lrp8os2,0.132,0.214,0.61682243,5.44E-06,-0.577847009
PVT-3,Adcy1,0.404,0.654,0.617737003,3.85E-15,-1.12175608
PVT-2,Gm15283,0.275,0.445,0.617977528,1.90E-24,-0.893420285
PVT-2,Gm48006,0.089,0.144,0.618055556,0.004897268,-0.75956088
PVT-2,B3galt5,0.157,0.254,0.618110236,1.95E-08,-0.690469481
PVT-1,St6gal1,0.149,0.241,0.618257261,4.92E-06,-0.916608687
PVT-3,Kcnk12,0.242,0.391,0.618925831,0.013152898,-0.859516035
PVT-4,Arhgef26,0.234,0.378,0.619047619,0.000265819,-0.897183673
PVT-4,Tle4,0.215,0.347,0.619596542,0.003313084,-0.877618476
PVT-1,Wwc2,0.194,0.313,0.619808307,3.18E-10,-0.938826098
PVT-2,Gm11437,0.142,0.229,0.620087336,3.08E-07,-0.75832293
PVT-2,Ephx4,0.08,0.129,0.620155039,0.03698527,-0.674504687
PVT-2,Tbc1d31,0.216,0.348,0.620689655,1.45E-14,-0.738097052
PVT-3,Grm4,0.509,0.82,0.620731707,2.26E-33,-1.284220822
PVT-2,Pak6,0.172,0.277,0.620938628,8.89E-09,-0.579313242
PVT-3,Sntg2,0.483,0.777,0.621621622,2.79E-29,-1.514148463
PVT-2,Gm50152,0.212,0.341,0.62170088,1.36E-13,-0.69252798
PVT-2,Rgs9,0.25,0.402,0.621890547,6.15E-18,-0.709169652
PVT-2,Il1rapl2,0.209,0.336,0.62202381,2.17E-17,-1.582150536
PVT-2,Rcan3,0.249,0.4,0.6225,3.59E-17,-0.683465875
PVT-4,Lypd6,0.322,0.517,0.622823985,3.86E-10,-1.033555217
PVT-2,Slc25a24,0.081,0.13,0.623076923,0.036928816,-0.660259176
PVT-2,Hcrtr2,0.144,0.231,0.623376623,9.91E-07,-0.715434159
PVT-5,Glra1,0.358,0.574,0.62369338,4.57E-06,-0.823763437
PVT-2,Triqk,0.118,0.189,0.624338624,5.83E-05,-0.698253792
PVT-3,Sh3rf3,0.517,0.828,0.624396135,2.82E-28,-1.206954423
PVT-2,Gcnt7,0.143,0.229,0.624454148,1.02E-06,-0.674853906
PVT-2,Rab36,0.193,0.309,0.624595469,7.30E-11,-0.673713636
PVT-1,Nfia,0.245,0.392,0.625,4.18E-21,-1.568876488
PVT-2,Hsf5,0.125,0.2,0.625,6.24E-05,-0.60971167
PVT-4,Tmem163,0.452,0.723,0.625172891,6.84E-26,-1.246554418
PVT-3,Diras2,0.272,0.435,0.625287356,0.000967818,-0.890246991
PVT-5,Cdh11,0.533,0.852,0.625586854,6.67E-25,-1.253513603
PVT-2,Atad2,0.097,0.155,0.625806452,0.003208685,-0.652219049
PVT-3,Dgkz,0.479,0.765,0.626143791,6.18E-21,-1.075041221
PVT-2,Gm48708,0.099,0.158,0.626582278,0.004221707,-0.650198412
PVT-2,Rgmb,0.126,0.201,0.626865672,0.000107764,-0.559176146
PVT-1,Cplx2,0.111,0.177,0.627118644,0.006087158,-0.88034601
PVT-2,Nbeal2,0.106,0.169,0.627218935,0.00098062,-0.650218044
PVT-2,Pbx3,0.192,0.306,0.62745098,2.08E-18,-2.782788668
PVT-2,Itgbl1,0.128,0.204,0.62745098,5.11E-05,-0.548210345
PVT-2,Prodh,0.096,0.153,0.62745098,0.007684473,-0.53284468
PVT-2,Gm42477,0.211,0.336,0.62797619,2.73E-12,-0.667112847
PVT-3,Mlxip,0.321,0.511,0.628180039,9.15E-06,-0.878181599
PVT-2,P3h3,0.132,0.21,0.628571429,2.88E-05,-0.574672482
PVT-4,Psg16,0.237,0.377,0.628647215,0.000991049,-0.828030961
PVT-5,Tmem163,0.448,0.712,0.629213483,1.96E-06,-0.739584106
PVT-4,Sash1,0.416,0.661,0.62934947,4.78E-18,-1.050948564
PVT-4,Cyyr1,0.27,0.429,0.629370629,1.79E-05,-0.935612941
PVT-4,Runx2,0.413,0.655,0.630534351,1.87E-18,-1.192860767
PVT-2,Lrrc8b,0.227,0.36,0.630555556,2.05E-13,-0.642553699
PVT-2,Efcab5,0.118,0.187,0.631016043,0.000154787,-0.740354539
PVT-2,Caln1,0.305,0.483,0.631469979,3.24E-31,-1.148689019
PVT-2,Nt5c,0.115,0.182,0.631868132,0.000493435,-0.645919737
PVT-1,Trpc4,0.196,0.31,0.632258065,4.27E-09,-0.88725982
PVT-2,Dtwd2,0.117,0.185,0.632432432,0.000482026,-0.580824709
PVT-2,Dctd,0.124,0.196,0.632653061,7.50E-05,-0.730932673
PVT-3,Clstn2,0.581,0.918,0.632897603,2.36E-54,-1.68251439
PVT-3,Sez6,0.268,0.423,0.63356974,0.012404577,-0.725061855
PVT-3,Plpp3,0.374,0.59,0.633898305,2.84E-10,-1.109480153
PVT-2,Ipcef1,0.227,0.358,0.634078212,1.00E-12,-0.668916038
PVT-2,E2f3,0.345,0.544,0.634191176,2.16E-31,-0.816333436
PVT-2,Il13ra1,0.094,0.148,0.635135135,0.012201495,-0.69019393
PVT-2,Hrh1,0.293,0.461,0.635574837,1.66E-20,-0.694432794
PVT-2,Sulf1,0.509,0.8,0.63625,3.74E-116,-1.293584151
PVT-2,Ak4,0.133,0.209,0.636363636,5.15E-05,-0.615952932
PVT-5,Plpp3,0.373,0.586,0.636518771,2.45E-08,-1.20231731
PVT-2,Catspere2,0.317,0.498,0.636546185,2.34E-26,-0.880446749
PVT-4,Slc35f4,0.317,0.498,0.636546185,1.36E-07,-1.004974926
PVT-4,Cpq,0.303,0.476,0.636554622,2.03E-08,-1.150607754
PVT-3,March3,0.615,0.966,0.636645963,9.44E-82,-1.902589524
PVT-2,Atp7a,0.246,0.386,0.637305699,6.36E-16,-0.764285523
PVT-4,Tafa2,0.424,0.665,0.637593985,4.00E-32,-2.566555965
PVT-4,Gm48749,0.424,0.665,0.637593985,4.00E-15,-0.882686038
PVT-2,Gm15414,0.348,0.545,0.63853211,3.24E-26,-0.655480265
PVT-3,Adgrl2,0.472,0.739,0.638700947,5.64E-18,-1.06248027
PVT-2,Fahd2a,0.092,0.144,0.638888889,0.048179873,-0.605072255
PVT-2,Ehbp1l1,0.117,0.183,0.639344262,0.000879973,-0.640325721
PVT-2,P4ha3,0.094,0.147,0.639455782,0.047174043,-0.571779569
PVT-2,Dhx37,0.103,0.161,0.639751553,0.005737045,-0.655414025
PVT-2,Gm47423,0.144,0.225,0.64,8.43E-06,-0.666981353
PVT-2,Slc9b2,0.281,0.439,0.640091116,1.11E-16,-0.597769308
PVT-3,Atp1b2,0.249,0.389,0.640102828,0.022796463,-0.854771796
PVT-1,Tspan9,0.105,0.164,0.640243902,0.033724809,-0.995283593
PVT-2,Efhc2,0.187,0.292,0.640410959,9.51E-10,-0.747310626
PVT-3,Rap1gap2,0.581,0.907,0.640573319,4.79E-44,-1.300923927
PVT-2,Sfmbt2,0.487,0.76,0.640789474,1.94E-102,-1.273126526
PVT-2,Oprk1,0.334,0.521,0.641074856,8.51E-26,-0.778419551
PVT-2,Idh1,0.118,0.184,0.641304348,0.001718596,-0.58767838
PVT-2,Ccdc15,0.156,0.243,0.641975309,1.39E-06,-0.687680345
PVT-2,Gm26827,0.244,0.38,0.642105263,2.73E-14,-0.711455604
PVT-4,AI593442,0.289,0.45,0.642222222,0.000181756,-0.716022003
PVT-2,Egflam,0.124,0.193,0.642487047,0.000369208,-0.61371025
PVT-2,Gm50270,0.117,0.182,0.642857143,0.001106782,-0.616014137
PVT-4,Cux2,0.501,0.779,0.643132221,6.99E-25,-0.943388164
PVT-2,Adamts3,0.155,0.241,0.643153527,2.13E-06,-0.706878212
PVT-5,Ror1,0.561,0.872,0.643348624,2.58E-33,-1.704372455
PVT-4,Ajap1,0.342,0.531,0.644067797,1.81E-08,-0.824211288
PVT-2,Rph3al,0.172,0.267,0.644194757,3.74E-07,-0.589348781
PVT-1,Tmem181a,0.201,0.312,0.644230769,1.62E-08,-0.815802072
PVT-2,Mtif3,0.096,0.149,0.644295302,0.035670398,-0.5745725
PVT-2,Gm10848,0.2,0.31,0.64516129,2.59E-10,-0.746264312
PVT-2,Gm16835,0.12,0.186,0.64516129,0.001297318,-0.621949442
PVT-2,Gm29237,0.193,0.299,0.64548495,2.71E-09,-0.669921051
PVT-2,Thnsl1,0.102,0.158,0.64556962,0.014441612,-0.59368686
PVT-2,Gm11457,0.137,0.212,0.646226415,6.26E-05,-0.654241729
PVT-4,Zfp618,0.298,0.461,0.646420824,3.52E-05,-0.682746637
PVT-1,Rgs6,0.245,0.379,0.646437995,5.35E-17,-1.897039263
PVT-3,Epha3,0.589,0.911,0.646542261,2.44E-39,-1.307757657
PVT-2,Gm16126,0.216,0.334,0.646706587,9.93E-11,-0.6653721
PVT-1,Plch1,0.198,0.306,0.647058824,3.21E-08,-0.908927396
PVT-2,Lipa,0.132,0.204,0.647058824,0.000294384,-0.592842685
PVT-1,Plekhh2,0.178,0.275,0.647272727,1.88E-06,-0.83350491
PVT-2,Rnf2,0.145,0.224,0.647321429,6.33E-05,-0.558014826
PVT-2,Rab33a,0.101,0.156,0.647435897,0.049634534,-0.439660848
PVT-2,Diaph3,0.149,0.23,0.647826087,5.95E-05,-0.531551938
PVT-2,Fbxo36,0.21,0.324,0.648148148,8.68E-11,-0.720710884
PVT-4,Gab2,0.485,0.748,0.648395722,5.85E-24,-1.092872266
PVT-4,Adra1b,0.347,0.535,0.648598131,4.60E-09,-0.994301262
PVT-2,Gm41361,0.181,0.279,0.64874552,2.91E-08,-0.696818004
PVT-1,Rnf152,0.233,0.359,0.64902507,7.83E-11,-0.846634868
PVT-2,Gm20319,0.104,0.16,0.65,0.021633628,-0.52193102
PVT-2,Gm2087,0.216,0.332,0.65060241,1.47E-09,-0.545573862
PVT-2,Slitrk5,0.17,0.261,0.651340996,1.42E-06,-0.609625081
PVT-4,Ptchd4,0.529,0.812,0.651477833,7.15E-28,-1.062176929
PVT-4,Msrb3,0.24,0.368,0.652173913,0.011374234,-0.768219845
PVT-3,Cdh7,0.604,0.926,0.652267819,7.46E-44,-1.321117313
PVT-3,Nexn,0.272,0.417,0.652278177,0.006731125,-0.926644279
PVT-2,Prokr2,0.171,0.262,0.652671756,1.16E-06,-0.608080927
PVT-2,Sytl2,0.222,0.34,0.652941176,8.16E-11,-0.700824485
PVT-2,Zim3,0.113,0.173,0.653179191,0.005269718,-0.629734309
PVT-2,Gm10558,0.098,0.15,0.653333333,0.046843043,-0.666644077
PVT-1,Rai2,0.138,0.211,0.654028436,0.003835815,-0.753046188
PVT-2,Jpt1,0.212,0.324,0.654320988,6.56E-09,-0.505547406
PVT-3,Ankrd44,0.498,0.761,0.654402102,5.40E-20,-1.108195282
PVT-4,Rbms1,0.455,0.695,0.654676259,8.47E-23,-1.310800246
PVT-5,Glce,0.349,0.533,0.65478424,1.80E-05,-1.157606497
PVT-3,Lin7a,0.555,0.847,0.655253837,1.50E-31,-1.320843823
PVT-2,Htr2b,0.118,0.18,0.655555556,0.003567426,-0.666173497
PVT-2,Trub2,0.158,0.241,0.65560166,1.21E-05,-0.649262251
PVT-2,Ttc7,0.139,0.212,0.655660377,0.00033894,-0.576920254
PVT-2,Rims4,0.299,0.456,0.655701754,2.09E-17,-0.634595965
PVT-3,Pde8b,0.385,0.587,0.655877342,5.98E-05,-0.678955563
PVT-2,Mov10,0.164,0.25,0.656,3.77E-06,-0.653665516
PVT-2,Gfpt2,0.103,0.157,0.656050955,0.036256996,-0.63634587
PVT-1,Glis3,0.124,0.189,0.656084656,0.000698537,-2.93412034
PVT-2,N4bp2,0.321,0.489,0.656441718,1.19E-20,-0.670527512
PVT-4,Ppargc1a,0.344,0.524,0.65648855,9.30E-08,-0.849380294
PVT-1,Shisa6,0.22,0.335,0.656716418,3.36E-12,-1.406776815
PVT-2,Radil,0.363,0.552,0.657608696,1.96E-25,-0.723828411
PVT-1,Caln1,0.292,0.444,0.657657658,1.05E-19,-1.29825647
PVT-2,Kif17,0.23,0.349,0.659025788,2.97E-10,-0.601094538
PVT-2,Ivns1abp,0.319,0.484,0.659090909,6.92E-23,-0.753848949
PVT-4,Chrm3,0.466,0.707,0.659123055,3.36E-24,-1.441654104
PVT-4,Glra1,0.383,0.581,0.659208262,1.50E-08,-0.764985896
PVT-2,Mpp1,0.151,0.229,0.659388646,8.28E-05,-0.553840268
PVT-5,Necab2,0.316,0.479,0.659707724,0.001427916,-1.033583353
PVT-1,Sema3c,0.142,0.215,0.660465116,0.000907034,-1.089889876
PVT-2,Katnal2,0.216,0.327,0.660550459,1.81E-09,-0.623550008
PVT-2,Angpt2,0.331,0.501,0.660678643,2.45E-21,-0.679486775
PVT-1,Ksr1,0.189,0.286,0.660839161,1.99E-06,-0.803117046
PVT-2,Apaf1,0.199,0.301,0.661129568,6.48E-08,-0.590474879
PVT-2,Tmem237,0.166,0.251,0.661354582,4.34E-06,-0.671022518
PVT-2,Agpat4,0.309,0.467,0.661670236,1.57E-15,-0.575349579
PVT-2,Tceal3,0.282,0.426,0.661971831,3.20E-13,-0.514699451
PVT-2,Fndc4,0.355,0.536,0.662313433,1.44E-22,-0.64639263
PVT-4,Tanc1,0.54,0.815,0.662576687,1.09E-44,-1.45983518
PVT-2,Gm15584,0.22,0.332,0.662650602,2.76E-09,-0.592797351
PVT-2,Gm21954,0.11,0.166,0.662650602,0.046164282,-0.477864238
PVT-3,Nceh1,0.389,0.587,0.662691652,1.51E-08,-0.956817779
PVT-2,Zfpm2,0.456,0.688,0.662790698,2.13E-84,-1.715814994
PVT-3,Chrm3,0.464,0.7,0.662857143,1.48E-11,-1.142197163
PVT-2,Pzp,0.175,0.264,0.662878788,9.89E-07,-0.676343022
PVT-2,Adam19,0.295,0.445,0.662921348,9.58E-16,-0.585343726
PVT-2,Slc41a3,0.122,0.184,0.663043478,0.004447894,-0.63010105
PVT-2,Prmt2,0.363,0.547,0.663619744,5.82E-23,-0.633700401
PVT-2,Rtbdn,0.227,0.342,0.66374269,3.35E-09,-0.541755144
PVT-1,Glra2,0.413,0.622,0.663987138,3.08E-31,-0.901452796
PVT-2,Ppil6,0.249,0.375,0.664,4.61E-12,-0.625598935
PVT-5,Tmem196,0.425,0.64,0.6640625,5.14E-07,-0.894754198
PVT-2,Heatr5a,0.265,0.399,0.664160401,5.39E-12,-0.563122707
PVT-2,Prag1,0.37,0.557,0.66427289,7.94E-25,-0.650049164
PVT-2,Lrrn3,0.339,0.51,0.664705882,1.48E-24,-0.789262
PVT-2,Gm14508,0.115,0.173,0.664739884,0.034053481,-0.518088953
PVT-4,Nfia,0.24,0.361,0.664819945,0.003156089,-1.048606519
PVT-4,Ppp1r14c,0.292,0.439,0.665148064,0.00388329,-0.547887931
PVT-2,Rad9b,0.151,0.227,0.665198238,0.000283758,-0.521370859
PVT-2,Rgs4,0.151,0.227,0.665198238,0.000792225,-0.389137914
PVT-2,Pbx4,0.225,0.338,0.665680473,2.41E-09,-0.613696958
PVT-2,Ttc26,0.263,0.395,0.665822785,1.55E-12,-0.591879897
PVT-3,Pex5l,0.547,0.821,0.666260658,6.35E-31,-1.743524937
PVT-2,Dse,0.264,0.396,0.666666667,1.71E-12,-0.595408032
PVT-2,Fam229b,0.166,0.249,0.666666667,1.08E-05,-0.602665757
PVT-2,Rsf1os2,0.162,0.243,0.666666667,0.000178321,-0.458330858
PVT-2,Gm49226,0.14,0.21,0.666666667,0.000750568,-0.556577163
PVT-2,Gm28370,0.118,0.177,0.666666667,0.02649278,-0.523426816
PVT-2,Gm26854,0.373,0.559,0.66726297,3.12E-28,-0.76682991
PVT-1,Gm48091,0.247,0.37,0.667567568,4.06E-11,-0.921616808
PVT-3,Kcnh5,0.464,0.695,0.667625899,1.91E-05,-0.511715329
PVT-3,Hrh3,0.392,0.587,0.667802385,7.55E-06,-0.75646442
