Cluster,Gene,PCT 1,PCT 2,PCT Ratio,Average Log2FC,p value
PVT-2A,Dtnbos,0.304,0.519,0.585741811,-0.438804476,1.41E-07
PVT-2A,Itfg2,0.068,0.211,0.322274882,-1.185335651,1.41E-07
PVT-2A,Wdr11,0.175,0.363,0.482093664,-0.633828543,1.42E-07
PVT-2A,Gm49417,0.113,0.275,0.410909091,-0.844968201,1.44E-07
PVT-2A,Tmem169,0.168,0.349,0.481375358,-0.660661888,1.44E-07
PVT-2A,Vps16,0.111,0.271,0.409594096,-0.838481677,1.45E-07
PVT-2A,Dgkd,0.302,0.523,0.577437859,-0.441321483,1.46E-07
PVT-2A,Prmt7,0.19,0.377,0.50397878,-0.692778956,1.46E-07
PVT-2A,Chp1,0.338,0.547,0.617915905,-0.485390635,1.47E-07
PVT-2A,Ptchd1,0.184,0.371,0.495956873,-0.638058313,1.47E-07
PVT-2A,Tmem65,0.197,0.387,0.509043928,-0.61395979,1.49E-07
PVT-2A,Mettl17,0.122,0.289,0.422145329,-0.747742476,1.52E-07
PVT-2A,Rmnd1,0.195,0.392,0.49744898,-0.548506728,1.57E-07
PVT-2A,Adcy6,0.161,0.336,0.479166667,-0.774510403,1.61E-07
PVT-2A,Ngly1,0.136,0.307,0.442996743,-0.731003851,1.63E-07
PVT-2A,Cdon,0.159,0.337,0.471810089,-0.770663588,1.65E-07
PVT-2A,Ankmy2,0.2,0.395,0.506329114,-0.580101433,1.65E-07
PVT-2A,Ddx42,0.317,0.534,0.593632959,-0.387634975,1.68E-07
PVT-2A,Fam76b,0.197,0.387,0.509043928,-0.641439667,1.68E-07
PVT-2A,Slc45a1,0.177,0.369,0.479674797,-0.571844265,1.68E-07
PVT-2A,Cnksr3,0.145,0.318,0.455974843,-0.767891654,1.68E-07
PVT-2A,Mbtps1,0.236,0.438,0.538812785,-0.456091094,1.68E-07
PVT-2A,Arsj,0.111,0.271,0.409594096,-0.845918543,1.71E-07
PVT-2A,Dalrd3,0.254,0.467,0.543897216,-0.37651926,1.72E-07
PVT-2A,Rpgrip1l,0.224,0.432,0.518518519,-0.45695279,1.73E-07
PVT-2A,Gm14410,0.132,0.306,0.431372549,-0.620470324,1.74E-07
PVT-2A,Aldh7a1,0.181,0.365,0.495890411,-0.588194234,1.74E-07
PVT-2A,Riok1,0.204,0.406,0.502463054,-0.435937585,1.74E-07
PVT-2A,Lrif1,0.218,0.426,0.511737089,-0.447342647,1.75E-07
PVT-2A,Trmt6,0.122,0.286,0.426573427,-0.725554951,1.76E-07
PVT-2A,Gm28379,0.175,0.362,0.483425414,-0.604725756,1.76E-07
PVT-2A,Sec23a,0.295,0.522,0.5651341,-0.41944968,1.77E-07
PVT-2A,Gk,0.247,0.461,0.535791757,-0.461787199,1.78E-07
PVT-2A,Lmf1,0.109,0.267,0.4082397,-0.920069901,1.79E-07
PVT-2A,Mobp,0.444,0.36,1.233333333,1.266177736,1.79E-07
PVT-2A,Rsf1os1,0.184,0.37,0.497297297,-0.586474578,1.80E-07
PVT-2A,Sec62,0.891,0.723,1.232365145,0.509962025,1.80E-07
PVT-2A,Tbc1d9b,0.345,0.545,0.633027523,-0.502478197,1.81E-07
PVT-2A,Ttbk1,0.263,0.482,0.545643154,-0.417647856,1.81E-07
PVT-2A,Atg14,0.102,0.261,0.390804598,-0.77198921,1.85E-07
PVT-2A,Acad10,0.073,0.214,0.341121495,-1.238225074,1.86E-07
PVT-2A,Mapkapk2,0.095,0.246,0.386178862,-1.061502323,1.86E-07
PVT-2A,Pgm3,0.104,0.259,0.401544402,-1.009774071,1.87E-07
PVT-2A,Gm12930,0.027,0.145,0.186206897,-2.094788761,1.88E-07
PVT-2A,Drc1,0.104,0.255,0.407843137,-1.142250114,1.89E-07
PVT-2A,Slc25a46,0.238,0.451,0.527716186,-0.414501301,1.89E-07
PVT-2A,Hadha,0.231,0.434,0.532258065,-0.569491753,1.91E-07
PVT-2A,Gm37107,0.059,0.195,0.302564103,-1.293692829,1.92E-07
PVT-2A,Clcn2,0.093,0.245,0.379591837,-0.920475506,1.93E-07
PVT-2A,Gm16638,0.059,0.196,0.301020408,-1.227776388,1.93E-07
PVT-2A,Stk4,0.186,0.375,0.496,-0.605773138,1.94E-07
PVT-2A,Gm10069,0.17,0.356,0.47752809,-0.576260328,1.94E-07
PVT-2A,Trim26,0.109,0.27,0.403703704,-0.830359773,1.99E-07
PVT-2A,Tpst2,0.063,0.201,0.313432836,-1.269683437,2.00E-07
PVT-2A,Asb7,0.181,0.366,0.494535519,-0.605496707,2.01E-07
PVT-2A,Lrrn3,0.252,0.454,0.555066079,-0.511121667,2.04E-07
PVT-2A,Plekha3,0.102,0.26,0.392307692,-0.791363252,2.04E-07
PVT-2A,Bfar,0.186,0.377,0.4933687,-0.533455462,2.04E-07
PVT-2A,Gm49961,0.143,0.315,0.453968254,-0.668163287,2.04E-07
PVT-2A,Pip4p2,0.254,0.464,0.547413793,-0.464251286,2.11E-07
PVT-2A,Fopnl,0.143,0.324,0.441358025,-0.522793544,2.13E-07
PVT-2A,Atp6v1b2,0.907,0.745,1.217449664,0.483487221,2.16E-07
PVT-2A,Nasp,0.161,0.35,0.46,-0.547023237,2.16E-07
PVT-2A,Ppp2r2d,0.218,0.419,0.520286396,-0.52251152,2.17E-07
PVT-2A,Tmem165,0.188,0.379,0.496042216,-0.528481617,2.20E-07
PVT-2A,Hsd17b12,0.238,0.45,0.528888889,-0.469112587,2.24E-07
PVT-2A,Nup155,0.143,0.317,0.451104101,-0.656759619,2.28E-07
PVT-2A,Zswim3,0.1,0.256,0.390625,-0.915522713,2.31E-07
PVT-2A,Mrnip,0.066,0.202,0.326732673,-1.491344559,2.32E-07
PVT-2A,Flii,0.172,0.357,0.481792717,-0.565334237,2.34E-07
PVT-2A,Wwc2,0.129,0.299,0.431438127,-0.683048852,2.38E-07
PVT-2A,Etfdh,0.113,0.272,0.415441176,-0.956657842,2.39E-07
PVT-2A,Pls1,0.19,0.383,0.496083551,-0.502483845,2.44E-07
PVT-2A,Mthfsl,0.118,0.279,0.422939068,-0.793319632,2.47E-07
PVT-2A,Zdhhc14,0.982,0.989,0.992922144,-0.222244443,2.50E-07
PVT-2A,Gm4117,0.041,0.167,0.245508982,-1.725554951,2.52E-07
PVT-2A,Mob4,0.259,0.475,0.545263158,-0.393420236,2.54E-07
PVT-2A,Elp3,0.147,0.322,0.456521739,-0.6305001,2.55E-07
PVT-2A,Usp12,0.259,0.473,0.54756871,-0.419223711,2.58E-07
PVT-2A,Hip1,0.19,0.38,0.5,-0.540122122,2.59E-07
PVT-2A,Gm17231,0.098,0.251,0.390438247,-0.906211052,2.63E-07
PVT-2A,Pparg,0.098,0.249,0.393574297,-1.097253402,2.63E-07
PVT-2A,Ddx19b,0.15,0.319,0.470219436,-0.798363706,2.65E-07
PVT-2A,Rbpj,0.197,0.395,0.498734177,-0.518642883,2.67E-07
PVT-2A,Ift172,0.152,0.325,0.467692308,-0.697954117,2.69E-07
PVT-2A,Rap1b,0.188,0.372,0.505376344,-0.629313166,2.70E-07
PVT-2A,St6gal1,0.086,0.232,0.370689655,-1.103525427,2.70E-07
PVT-2A,Zdhhc1,0.175,0.362,0.483425414,-0.602840578,2.72E-07
PVT-2A,Armc2,0.095,0.249,0.381526104,-0.981779799,2.72E-07
PVT-2A,Sirt2,0.256,0.472,0.542372881,-0.451330101,2.72E-07
PVT-2A,Wdr48,0.159,0.342,0.464912281,-0.533633452,2.73E-07
PVT-2A,Gm10115,0.116,0.275,0.421818182,-0.853984302,2.75E-07
PVT-2A,Actr3,0.302,0.527,0.573055028,-0.357600717,2.76E-07
PVT-2A,Klhl20,0.132,0.295,0.447457627,-0.775444984,2.78E-07
PVT-2A,Rab11fip2,0.302,0.516,0.585271318,-0.429024891,2.78E-07
PVT-2A,Tmcc3,0.986,0.967,1.019648397,-0.274130994,2.81E-07
PVT-2A,Znhit6,0.2,0.394,0.507614213,-0.548938737,2.85E-07
PVT-2A,Stat2,0.168,0.35,0.48,-0.625674589,2.87E-07
PVT-2A,Rnf34,0.195,0.381,0.511811024,-0.600578889,2.92E-07
PVT-2A,Osbpl5,0.138,0.301,0.458471761,-0.870877979,2.97E-07
PVT-2A,Ndrg2,0.542,0.505,1.073267327,1.013541381,3.00E-07
PVT-2A,Gtf2e2,0.111,0.272,0.408088235,-0.77408821,3.04E-07
PVT-2A,Atg4c,0.299,0.523,0.571701721,-0.405216853,3.05E-07
PVT-2A,Taok2,0.179,0.368,0.486413043,-0.606915396,3.07E-07
PVT-2A,Vcl,0.211,0.401,0.526184539,-0.617906684,3.09E-07
PVT-2A,Fam160a2,0.249,0.461,0.540130152,-0.358928045,3.09E-07
PVT-2A,Tada2a,0.265,0.49,0.540816327,-0.457973669,3.16E-07
PVT-2A,Ankrd13d,0.252,0.464,0.543103448,-0.456558288,3.18E-07
PVT-2A,Wbp4,0.231,0.439,0.5261959,-0.42549047,3.30E-07
PVT-2A,Pms1,0.143,0.316,0.452531646,-0.644475787,3.35E-07
PVT-2A,Rybp,0.209,0.405,0.516049383,-0.535961475,3.36E-07
PVT-2A,Gpd2,0.168,0.348,0.482758621,-0.438743162,3.37E-07
PVT-2A,Pcx,0.17,0.349,0.487106017,-0.653000896,3.38E-07
PVT-2A,Slc35f5,0.107,0.259,0.413127413,-0.950956406,3.42E-07
PVT-2A,Blm,0.138,0.315,0.438095238,-0.572680402,3.43E-07
PVT-2A,Ankrd55,0.413,0.554,0.745487365,-0.684568278,3.54E-07
PVT-2A,Vstm5,0.161,0.337,0.477744807,-0.670215899,3.54E-07
PVT-2A,Ing4,0.15,0.319,0.470219436,-0.703940727,3.58E-07
PVT-2A,Dleu2,0.206,0.387,0.532299742,-0.843371081,3.62E-07
PVT-2A,Gan,0.154,0.334,0.461077844,-0.520124927,3.63E-07
PVT-2A,Ltn1,0.311,0.537,0.579143389,-0.37656333,3.65E-07
PVT-2A,Ccni,0.277,0.504,0.549603175,-0.321921294,3.69E-07
PVT-2A,Bdnf,0.22,0.403,0.545905707,-0.656810892,3.70E-07
PVT-2A,Hnrnph3,0.313,0.533,0.587242026,-0.333967254,3.71E-07
PVT-2A,Ipo7,0.261,0.466,0.560085837,-0.497086637,3.71E-07
PVT-2A,Naa25,0.177,0.354,0.5,-0.620695481,3.78E-07
PVT-2A,Nf2,0.218,0.419,0.520286396,-0.456500795,3.79E-07
PVT-2A,Ccdc15,0.077,0.219,0.351598174,-1.153022026,3.88E-07
PVT-2A,Gm10544,0.098,0.249,0.393574297,-0.912520224,3.90E-07
PVT-2A,Phykpl,0.095,0.245,0.387755102,-0.897271008,3.91E-07
PVT-2A,Ankrd52,0.184,0.375,0.490666667,-0.515837066,3.92E-07
PVT-2A,Myo1d,0.234,0.433,0.540415704,-0.541885812,3.95E-07
PVT-2A,Tspan33,0.279,0.503,0.554671968,-0.371976244,4.01E-07
PVT-2A,Prpf18,0.188,0.381,0.49343832,-0.511032023,4.02E-07
PVT-2A,Zswim8,0.27,0.496,0.544354839,-0.354090781,4.05E-07
PVT-2A,Srgap3,0.991,0.979,1.012257406,-0.211732813,4.08E-07
PVT-2A,Arhgap24,0.98,0.965,1.015544041,-0.296332143,4.11E-07
PVT-2A,Mettl15,0.154,0.326,0.472392638,-0.739272073,4.11E-07
PVT-2A,Med24,0.152,0.32,0.475,-0.751518522,4.12E-07
PVT-2A,Azi2,0.206,0.399,0.516290727,-0.537438491,4.13E-07
PVT-2A,Cerk,0.297,0.507,0.585798817,-0.499457771,4.18E-07
PVT-2A,Napepld,0.127,0.29,0.437931034,-0.867807948,4.18E-07
PVT-2A,Gm17399,0.082,0.221,0.371040724,-1.255253433,4.20E-07
PVT-2A,Rfc1,0.179,0.361,0.495844875,-0.514449613,4.20E-07
PVT-2A,Gm17135,0.039,0.162,0.240740741,-1.449920508,4.21E-07
PVT-2A,Txndc12,0.107,0.259,0.413127413,-0.888820309,4.28E-07
PVT-2A,Trappc11,0.19,0.375,0.506666667,-0.555499932,4.30E-07
PVT-2A,Mbip,0.238,0.449,0.530066815,-0.471408912,4.31E-07
PVT-2A,Rab3ip,0.168,0.349,0.481375358,-0.591126362,4.32E-07
PVT-2A,Ppfia2,1,0.999,1.001001001,-0.118337907,4.37E-07
PVT-2A,Col4a1,0.147,0.32,0.459375,-0.716471408,4.40E-07
PVT-2A,Hmgcl,0.138,0.31,0.44516129,-0.632068766,4.46E-07
PVT-2A,Hexa,0.15,0.32,0.46875,-0.644603318,4.58E-07
PVT-2A,Ercc5,0.132,0.295,0.447457627,-0.776158256,4.61E-07
PVT-2A,P2rx4,0.147,0.319,0.460815047,-0.732381597,4.62E-07
PVT-2A,Cisd2,0.252,0.468,0.538461538,-0.362183562,4.65E-07
PVT-2A,Sucla2,0.27,0.49,0.551020408,-0.375002098,4.77E-07
PVT-2A,Gm39214,0.102,0.258,0.395348837,-0.782492602,4.82E-07
PVT-2A,Spg11,0.22,0.411,0.535279805,-0.562982051,4.82E-07
PVT-2A,Phf2,0.127,0.289,0.439446367,-0.808450195,4.89E-07
PVT-2A,Heatr1,0.082,0.226,0.362831858,-1.054466771,4.97E-07
PVT-2A,Lmln,0.127,0.287,0.442508711,-0.798182751,4.99E-07
PVT-2A,Prpsap1,0.143,0.314,0.455414013,-0.675563465,5.07E-07
PVT-2A,Nipal3,0.231,0.436,0.529816514,-0.438828269,5.09E-07
PVT-2A,Caskin1,0.274,0.491,0.558044807,-0.395026478,5.10E-07
PVT-2A,Dcun1d4,0.27,0.497,0.543259557,-0.371031453,5.11E-07
PVT-2A,Narf,0.245,0.453,0.540838852,-0.412607447,5.13E-07
PVT-2A,Mpp5,0.202,0.384,0.526041667,-0.616396775,5.17E-07
PVT-2A,Heca,0.161,0.336,0.479166667,-0.638341001,5.19E-07
PVT-2A,Sema3a,0.045,0.17,0.264705882,-1.838013345,5.20E-07
PVT-2A,Gm14296,0.254,0.463,0.548596112,-0.449376173,5.28E-07
PVT-2A,Idh2,0.286,0.513,0.557504873,-0.428036781,5.32E-07
PVT-2A,Dctn6,0.134,0.302,0.443708609,-0.694896215,5.37E-07
PVT-2A,Kctd1,0.277,0.495,0.55959596,-0.304508586,5.41E-07
PVT-2A,Casp2,0.079,0.222,0.355855856,-1.017719368,5.48E-07
PVT-2A,Osbpl6,0.98,0.97,1.010309278,-0.240842192,5.54E-07
PVT-2A,Sp3,0.22,0.414,0.531400966,-0.498144455,5.56E-07
PVT-2A,Rbbp4,0.256,0.47,0.544680851,-0.397857828,5.56E-07
PVT-2A,Svil,0.181,0.355,0.509859155,-0.729939948,5.57E-07
PVT-2A,Dcaf1,0.304,0.529,0.574669187,-0.408511933,5.57E-07
PVT-2A,Gga3,0.204,0.395,0.516455696,-0.589500204,5.62E-07
PVT-2A,Clpx,0.365,0.562,0.649466192,-0.429715344,5.62E-07
PVT-2A,Faim2,0.85,0.678,1.253687316,0.48301493,5.63E-07
PVT-2A,Gm47350,0.061,0.191,0.319371728,-1.453869854,5.70E-07
PVT-2A,Casp8ap2,0.141,0.313,0.450479233,-0.554220379,5.74E-07
PVT-2A,Fbxl4,0.147,0.317,0.463722397,-0.699395341,5.75E-07
PVT-2A,Kirrel3,0.982,0.936,1.049145299,-0.603490083,5.76E-07
PVT-2A,Tbc1d20,0.129,0.295,0.437288136,-0.700509822,5.77E-07
PVT-2A,Colgalt1,0.179,0.369,0.485094851,-0.501807506,5.92E-07
PVT-2A,Nipsnap2,0.308,0.528,0.583333333,-0.404944923,5.93E-07
PVT-2A,Zfp697,0.127,0.285,0.445614035,-0.921952164,5.95E-07
PVT-2A,Gls2,0.138,0.301,0.458471761,-0.7814839,5.99E-07
PVT-2A,Slc9b2,0.202,0.387,0.521963824,-0.558878412,6.00E-07
PVT-2A,Zfp81,0.102,0.255,0.4,-0.79559959,6.02E-07
PVT-2A,Dmac2l,0.084,0.226,0.371681416,-1.106148623,6.04E-07
PVT-2A,Usp36,0.202,0.396,0.51010101,-0.47212933,6.04E-07
PVT-2A,Ankrd13b,0.147,0.321,0.457943925,-0.624715958,6.14E-07
PVT-2A,Mthfr,0.156,0.334,0.467065868,-0.629196873,6.17E-07
PVT-2A,Cep295,0.297,0.515,0.576699029,-0.459126947,6.19E-07
PVT-2A,Fkbp5,0.138,0.309,0.446601942,-0.653812141,6.23E-07
PVT-2A,Msl2,0.2,0.391,0.511508951,-0.449143224,6.25E-07
PVT-2A,Agap1,0.995,0.992,1.003024194,-0.155730943,6.34E-07
PVT-2A,Mipep,0.161,0.33,0.487878788,-0.67403761,6.39E-07
PVT-2A,Gdap2,0.163,0.341,0.478005865,-0.608486423,6.42E-07
PVT-2A,Sdad1,0.095,0.242,0.392561983,-1.036464045,6.43E-07
PVT-2A,Pdcd6ip,0.245,0.458,0.534934498,-0.459448189,6.45E-07
PVT-2A,Gclc,0.247,0.449,0.550111359,-0.512882818,6.46E-07
PVT-2A,Ptpn23,0.159,0.333,0.477477477,-0.650756786,6.48E-07
PVT-2A,Ddx18,0.104,0.261,0.398467433,-0.704477359,6.48E-07
PVT-2A,Dram2,0.186,0.37,0.502702703,-0.568463902,6.52E-07
PVT-2A,Ptpdc1,0.152,0.331,0.459214502,-0.523256906,6.53E-07
PVT-2A,Fbxo38,0.236,0.442,0.533936652,-0.461260726,6.56E-07
PVT-2A,Rrbp1,0.197,0.385,0.511688312,-0.526824198,6.56E-07
PVT-2A,Aste1,0.098,0.245,0.4,-0.912602662,6.66E-07
PVT-2A,Abcd4,0.141,0.309,0.45631068,-0.690363696,6.72E-07
PVT-2A,Ghr,0.222,0.401,0.55361596,-0.809631544,6.74E-07
PVT-2A,Rab23,0.088,0.236,0.372881356,-0.963544227,6.74E-07
PVT-2A,Satb1,0.184,0.371,0.495956873,-0.511284264,6.74E-07
PVT-2A,Maml1,0.079,0.22,0.359090909,-1.057824176,6.85E-07
PVT-2A,Ccnd2,0.073,0.209,0.349282297,-1.240618087,6.88E-07
PVT-2A,Ubap1l,0.075,0.216,0.347222222,-1.064893471,7.07E-07
PVT-2A,Slc25a42,0.127,0.287,0.442508711,-0.824920164,7.24E-07
PVT-2A,Zxdc,0.127,0.292,0.434931507,-0.710778157,7.30E-07
PVT-2A,Rnps1,0.256,0.466,0.549356223,-0.427104234,7.31E-07
PVT-2A,Anapc4,0.306,0.534,0.573033708,-0.392430508,7.35E-07
PVT-2A,Dctd,0.05,0.178,0.280898876,-1.243652147,7.37E-07
PVT-2A,Abcg1,0.197,0.388,0.507731959,-0.474636832,7.38E-07
PVT-2A,Trmt1,0.254,0.468,0.542735043,-0.403438701,7.42E-07
PVT-2A,Ell,0.204,0.388,0.525773196,-0.553373976,7.46E-07
PVT-2A,Gm2762,0.052,0.181,0.287292818,-1.27234305,7.47E-07
PVT-2A,Enox2,0.224,0.425,0.527058824,-0.507128487,7.49E-07
PVT-2A,Ring1,0.224,0.422,0.530805687,-0.465981093,7.51E-07
PVT-2A,Ssbp4,0.288,0.518,0.555984556,-0.344007533,7.57E-07
PVT-2A,Clcn7,0.143,0.316,0.452531646,-0.589625716,7.60E-07
PVT-2A,Lrfn2,0.968,0.956,1.012552301,-0.209742683,7.62E-07
PVT-2A,Tmem120b,0.136,0.303,0.448844884,-0.609805942,7.62E-07
PVT-2A,Dclk1,1,0.999,1.001001001,-0.162844507,7.67E-07
PVT-2A,Prxl2c,0.24,0.442,0.542986425,-0.496844608,7.67E-07
PVT-2A,Srrm4os,0.252,0.447,0.563758389,-0.484781131,7.82E-07
PVT-2A,Pskh1,0.091,0.238,0.382352941,-0.876369743,7.83E-07
PVT-2A,Zfp746,0.141,0.308,0.457792208,-0.637722216,7.84E-07
PVT-2A,Wdr75,0.145,0.32,0.453125,-0.627388486,7.87E-07
PVT-2A,Gfm1,0.122,0.286,0.426573427,-0.707142914,7.89E-07
PVT-2A,Metap1d,0.15,0.318,0.471698113,-0.726693753,7.93E-07
PVT-2A,Itprid2,0.259,0.461,0.561822126,-0.444486622,8.01E-07
PVT-2A,Clpp,0.152,0.323,0.470588235,-0.625674589,8.07E-07
PVT-2A,Wdtc1,0.166,0.341,0.486803519,-0.635903319,8.09E-07
PVT-2A,Ctr9,0.215,0.416,0.516826923,-0.418110091,8.17E-07
PVT-2A,Gm49003,0.12,0.283,0.424028269,-0.610709617,8.29E-07
PVT-2A,Zbtb44,0.202,0.398,0.507537688,-0.446984783,8.45E-07
PVT-2A,Gm11457,0.061,0.192,0.317708333,-1.229438287,8.53E-07
PVT-2A,Psmd13,0.163,0.333,0.489489489,-0.68144556,8.57E-07
PVT-2A,Ppp1r12c,0.22,0.419,0.525059666,-0.42732421,8.63E-07
PVT-2A,Ttc21b,0.351,0.54,0.65,-0.496226781,8.90E-07
PVT-2A,Nsd1,0.991,0.984,1.007113821,-0.189901761,8.93E-07
PVT-2A,Gpsm1,0.152,0.318,0.477987421,-0.619098696,8.96E-07
PVT-2A,Tmcc1,0.995,0.985,1.010152284,-0.165593255,8.96E-07
PVT-2A,Rerg,0.011,0.112,0.098214286,-3.333382307,9.05E-07
PVT-2A,Atp8b2,0.179,0.355,0.504225352,-0.596761897,9.11E-07
PVT-2A,Prcp,0.12,0.275,0.436363636,-0.71534262,9.13E-07
PVT-2A,Fads3,0.068,0.204,0.333333333,-0.979015636,9.14E-07
PVT-2A,Ercc4,0.134,0.297,0.451178451,-0.713623399,9.26E-07
PVT-2A,Kctd3,0.202,0.389,0.519280206,-0.527523327,9.27E-07
PVT-2A,Foxo3,0.308,0.529,0.582230624,-0.424580921,9.28E-07
PVT-2A,Limk2,0.293,0.515,0.568932039,-0.37686321,9.29E-07
PVT-2A,Srpk1,0.306,0.523,0.585086042,-0.381576424,9.31E-07
PVT-2A,Ints10,0.297,0.521,0.570057582,-0.402661462,9.36E-07
PVT-2A,Frg1,0.252,0.462,0.545454545,-0.396333996,9.50E-07
PVT-2A,Cars,0.175,0.353,0.495750708,-0.592228106,9.54E-07
PVT-2A,Plpbp,0.095,0.241,0.394190871,-0.995893005,9.63E-07
PVT-2A,Rsph3a,0.061,0.194,0.31443299,-1.177007777,9.68E-07
PVT-2A,Ralgps1,0.93,0.919,1.011969532,-0.259968858,9.69E-07
PVT-2A,Gm29237,0.116,0.268,0.432835821,-0.880314554,9.81E-07
PVT-2A,Brms1l,0.254,0.464,0.547413793,-0.395431895,9.88E-07
PVT-2A,Trpc5,0.898,0.795,1.129559748,-0.631397954,9.89E-07
PVT-2A,Rab36,0.116,0.273,0.424908425,-0.802790872,1.00E-06
PVT-2A,Adamts20,0.163,0.338,0.482248521,-0.610029076,1.01E-06
PVT-2A,Snrnp40,0.168,0.343,0.489795918,-0.565580242,1.01E-06
PVT-2A,Pfkfb4,0.102,0.25,0.408,-0.97527352,1.01E-06
PVT-2A,Ak4,0.059,0.189,0.312169312,-1.198594872,1.01E-06
PVT-2A,Cops3,0.209,0.404,0.517326733,-0.454712796,1.01E-06
PVT-2A,Ttc1,0.143,0.314,0.455414013,-0.594163616,1.01E-06
PVT-2A,Ablim1,0.993,0.98,1.013265306,-0.195744597,1.02E-06
PVT-2A,Gpr156,0.116,0.275,0.421818182,-0.654896073,1.02E-06
PVT-2A,Gm10848,0.12,0.277,0.433212996,-0.84705093,1.04E-06
PVT-2A,Zfp983,0.12,0.275,0.436363636,-0.852461389,1.05E-06
PVT-2A,Frmd6,0.238,0.436,0.54587156,-0.4781174,1.06E-06
PVT-2A,Man1c1,0.17,0.347,0.489913545,-0.423669616,1.06E-06
PVT-2A,Gm7854,0.34,0.497,0.684104628,-0.78685185,1.06E-06
PVT-2A,Morf4l1,0.923,0.773,1.194049159,0.473483952,1.07E-06
PVT-2A,Atg4a,0.102,0.255,0.4,-0.75163329,1.07E-06
PVT-2A,Kat14,0.147,0.316,0.465189873,-0.599975743,1.08E-06
PVT-2A,Rnf185,0.152,0.323,0.470588235,-0.568637683,1.09E-06
PVT-2A,Lmnb1,0.113,0.274,0.412408759,-0.544459895,1.09E-06
PVT-2A,Zmat3,0.231,0.425,0.543529412,-0.44543974,1.10E-06
PVT-2A,Dlat,0.263,0.466,0.564377682,-0.5041728,1.10E-06
PVT-2A,Rpap3,0.109,0.261,0.417624521,-0.839229475,1.10E-06
PVT-2A,Ccdc91,0.197,0.38,0.518421053,-0.490019489,1.11E-06
PVT-2A,Asah1,0.302,0.519,0.581888247,-0.38600507,1.12E-06
PVT-2A,Apopt1,0.161,0.34,0.473529412,-0.622831839,1.12E-06
PVT-2A,Zfp326,0.156,0.329,0.474164134,-0.661183501,1.13E-06
PVT-2A,Slc12a9,0.073,0.208,0.350961538,-1.096068313,1.13E-06
PVT-2A,Slc7a6os,0.172,0.353,0.487252125,-0.540958274,1.14E-06
PVT-2A,Tmem68,0.118,0.274,0.430656934,-0.77089915,1.14E-06
PVT-2A,Srsf12,0.141,0.304,0.463815789,-0.738792533,1.15E-06
PVT-2A,Zfp523,0.215,0.419,0.513126492,-0.424385416,1.18E-06
PVT-2A,Slc25a36,0.311,0.527,0.590132827,-0.436218352,1.18E-06
PVT-2A,Ipmk,0.134,0.297,0.451178451,-0.686010252,1.19E-06
PVT-2A,Gm12592,0.052,0.177,0.293785311,-1.40194572,1.19E-06
PVT-2A,Bicd2,0.186,0.371,0.501347709,-0.426621165,1.20E-06
PVT-2A,Mia3,0.322,0.53,0.60754717,-0.447476808,1.20E-06
PVT-2A,Hyou1,0.084,0.225,0.373333333,-1.013297263,1.21E-06
PVT-2A,Dpy19l1,0.193,0.37,0.521621622,-0.636862603,1.21E-06
PVT-2A,Arl13b,0.186,0.364,0.510989011,-0.564417247,1.22E-06
PVT-2A,Zfp74,0.129,0.291,0.443298969,-0.700921961,1.22E-06
PVT-2A,Lurap1l,0.12,0.278,0.431654676,-0.698009483,1.23E-06
PVT-2A,Pcyt1b,0.202,0.393,0.513994911,-0.462722025,1.23E-06
PVT-2A,Otud5,0.222,0.411,0.540145985,-0.507830705,1.25E-06
PVT-2A,Creld1,0.163,0.34,0.479411765,-0.520001481,1.25E-06
PVT-2A,Tubgcp3,0.231,0.419,0.551312649,-0.401271666,1.25E-06
PVT-2A,Ap4s1,0.281,0.492,0.571138211,-0.385382187,1.25E-06
PVT-2A,Cemip2,0.154,0.322,0.47826087,-0.751478944,1.27E-06
PVT-2A,Zfp169,0.111,0.266,0.417293233,-0.673394211,1.28E-06
PVT-2A,Gm26871,0.989,0.962,1.028066528,-0.279390234,1.29E-06
PVT-2A,Snx1,0.288,0.502,0.573705179,-0.397677512,1.30E-06
PVT-2A,Sephs1,0.075,0.214,0.35046729,-1.045157993,1.31E-06
PVT-2A,Brip1os,0.224,0.412,0.54368932,-0.581885286,1.31E-06
PVT-2A,Slc16a4,0.122,0.274,0.445255474,-0.908467955,1.31E-06
PVT-2A,Golga3,0.231,0.43,0.537209302,-0.444258596,1.34E-06
PVT-2A,Mpp2,0.143,0.311,0.459807074,-0.664571004,1.35E-06
PVT-2A,Ripk2,0.116,0.268,0.432835821,-0.880497684,1.35E-06
PVT-2A,Sarm1,0.084,0.226,0.371681416,-0.941042229,1.35E-06
PVT-2A,Ezh1,0.222,0.419,0.529832936,-0.485234025,1.37E-06
PVT-2A,Slc37a3,0.143,0.307,0.465798046,-0.646808802,1.38E-06
PVT-2A,Rph3al,0.098,0.239,0.410041841,-0.990860645,1.39E-06
PVT-2A,Borcs5,0.145,0.311,0.466237942,-0.690643904,1.39E-06
PVT-2A,Vps37c,0.113,0.262,0.43129771,-0.969257879,1.40E-06
PVT-2A,Kat7,0.204,0.391,0.52173913,-0.53058482,1.41E-06
PVT-2A,Slc30a5,0.215,0.403,0.533498759,-0.530313611,1.42E-06
PVT-2A,Far1os,0.263,0.468,0.561965812,-0.481892444,1.44E-06
