Cluster,Gene,PCT 1,PCT 2,PCT Ratio,Average Log2FC,p value
PVT-1A,March3,0.988,0.93,1.062365591,0.148394443,0.003192639
PVT-1A,Kcnn2,0.962,0.97,0.991752577,-0.268545424,0.003241327
PVT-1A,Schip1,0.797,0.848,0.939858491,-0.472659133,0.003272201
PVT-1A,Tmem131l,0.806,0.731,1.102599179,0.256788929,0.00331719
PVT-1A,Doc2b,0.419,0.312,1.342948718,0.430668692,0.003421566
PVT-1A,Catsperg1,0.198,0.119,1.663865546,0.660618355,0.003429966
PVT-1A,Ptn,0.846,0.783,1.08045977,0.227233211,0.003584227
PVT-1A,Ahi1,1,0.998,1.002004008,0.131609613,0.003653083
PVT-1A,Dera,0.306,0.212,1.443396226,0.559333026,0.003666465
PVT-1A,Cdh10,0.853,0.895,0.953072626,-0.324364308,0.003672865
PVT-1A,Sergef,0.69,0.759,0.909090909,-0.342076522,0.003789513
PVT-1A,Gfpt2,0.194,0.118,1.644067797,0.771351514,0.003825132
PVT-1A,Ccdc77,0.327,0.232,1.409482759,0.592883331,0.003867806
PVT-1A,Ppef1,0.118,0.06,1.966666667,0.98128296,0.003883077
PVT-1A,Ralgds,0.439,0.333,1.318318318,0.45247435,0.003913301
PVT-1A,Zfp462,0.825,0.747,1.104417671,0.239570342,0.003992527
PVT-1A,Tnxb,0.121,0.063,1.920634921,0.93935979,0.004286421
PVT-1A,Adgrf4,0.028,0.087,0.32183908,-1.652272309,0.0044301
PVT-1A,Rnf165,0.829,0.772,1.073834197,0.273832012,0.004663435
PVT-1A,Timp3,0.897,0.853,1.051582649,0.226034119,0.00470654
PVT-1A,Cped1,0.045,0.111,0.405405405,-1.50638234,0.004755899
PVT-1A,Fgf16,0.065,0.025,2.6,1.366628774,0.00502187
PVT-1A,Mns1,0.158,0.09,1.755555556,0.800771203,0.005050689
PVT-1A,Scg2,0.353,0.446,0.791479821,-0.619417844,0.005112025
PVT-1A,Cmtm7,0.02,0.075,0.266666667,-2.123470423,0.0051828
PVT-1A,Epb41l5,0.716,0.632,1.132911392,0.306050535,0.005216548
PVT-1A,Rph3a,0.822,0.861,0.954703833,-0.30646802,0.005312273
PVT-1A,Igsf9,0.092,0.043,2.139534884,1.182916821,0.00558483
PVT-1A,Hs6st2,0.442,0.535,0.826168224,-0.545350668,0.005602309
PVT-1A,Thsd4,0.696,0.622,1.118971061,0.229102472,0.005636674
PVT-1A,Klf12,0.997,0.992,1.005040323,-0.213348102,0.005680303
PVT-1A,Sema4a,0.295,0.203,1.45320197,0.552774337,0.005891327
PVT-1A,Exph5,0.464,0.366,1.267759563,0.446495743,0.005932798
PVT-1A,BC051408,0.051,0.017,3,1.686959326,0.006002997
PVT-1A,Raver2,0.303,0.397,0.763224181,-0.622899226,0.00619232
PVT-1A,Ppp1r14c,0.513,0.405,1.266666667,0.368423364,0.006239754
PVT-1A,Rcsd1,0.065,0.137,0.474452555,-1.249497247,0.006242279
PVT-1A,Gab2,0.656,0.735,0.892517007,-0.432250053,0.00626313
PVT-1A,Mpp3,0.22,0.139,1.582733813,0.648285996,0.006367152
PVT-1A,Ppfia2,0.998,0.999,0.998998999,0.106881999,0.006571969
PVT-1A,Tubd1,0.298,0.202,1.475247525,0.462794737,0.00682383
PVT-1A,Prkca,0.488,0.382,1.277486911,0.391120526,0.006901459
PVT-1A,Adgrg2,0.404,0.287,1.407665505,0.319221672,0.006923402
PVT-1A,Myo5c,0.017,0.069,0.246376812,-2.203664232,0.00708874
PVT-1A,Hap1,0.768,0.684,1.122807018,0.271487346,0.007447505
PVT-1A,Ccdc162,0.187,0.113,1.654867257,0.624008212,0.007650196
PVT-1A,Rtbdn,0.37,0.27,1.37037037,0.47491471,0.00781549
PVT-1A,Fra10ac1,0.444,0.328,1.353658537,0.33736309,0.007920299
PVT-1A,Pard3,0.888,0.928,0.956896552,-0.258925758,0.008366502
PVT-1A,Daam1,0.925,0.893,1.035834267,0.210822041,0.008451793
PVT-1A,Ophn1,0.81,0.764,1.060209424,0.261509235,0.008551749
PVT-1A,Sptb,0.816,0.776,1.051546392,0.232747977,0.008770963
PVT-1A,Csad,0.363,0.267,1.359550562,0.548799634,0.008854243
PVT-1A,Zfp804b,0.989,0.947,1.044350581,-0.64360202,0.009107785
PVT-1A,Nedd4l,0.897,0.919,0.976060936,-0.265055339,0.009195926
PVT-1A,Pgbd5,0.823,0.77,1.068831169,0.258113667,0.00923218
PVT-1A,Tafa1,0.571,0.47,1.214893617,0.266667677,0.009283256
PVT-1A,Piezo2,0.023,0.077,0.298701299,-2.430242572,0.010142942
PVT-1A,Arsg,0.246,0.161,1.527950311,0.554452682,0.010525749
PVT-1A,Cenpp,0.376,0.275,1.367272727,0.40965079,0.010742079
PVT-1A,Itgb3bp,0.441,0.342,1.289473684,0.456666252,0.011025752
PVT-1A,Snhg14,1,0.999,1.001001001,-0.130783627,0.011199084
PVT-1A,Erbb4,0.419,0.487,0.86036961,-0.896051226,0.011411699
PVT-1A,Nrap,0.121,0.064,1.890625,0.891150697,0.011590779
PVT-1A,Tbc1d31,0.367,0.268,1.369402985,0.438210695,0.011808543
PVT-1A,Npas3,0.645,0.719,0.897079277,-0.48597102,0.012349693
PVT-1A,Casc4,0.963,0.954,1.009433962,0.168994445,0.013066704
PVT-1A,Mpped1,0.031,0.088,0.352272727,-1.628396115,0.013244896
PVT-1A,Limch1,0.51,0.589,0.865874363,-0.493455463,0.013314768
PVT-1A,Vwa5b2,0.186,0.275,0.676363636,-0.751289528,0.013329959
PVT-1A,Gdpd2,0.292,0.205,1.424390244,0.576864715,0.013496885
PVT-1A,AC149090.1,0.978,0.978,1,0.159455763,0.013699842
PVT-1A,Cadps2,0.123,0.196,0.62755102,-3.384477961,0.013965902
PVT-1A,Wscd1,0.436,0.33,1.321212121,0.403440931,0.014200017
PVT-1A,Pcdh19,0.499,0.575,0.867826087,-0.473881765,0.014572424
PVT-1A,Dab2ip,0.871,0.828,1.051932367,0.228279753,0.014661084
PVT-1A,Ccdc171,0.307,0.214,1.434579439,0.47088292,0.01477916
PVT-1A,Ltbp1,0.363,0.254,1.429133858,0.237298391,0.014881879
PVT-1A,Ppm1h,0.962,0.967,0.994829369,-0.255577311,0.015241114
PVT-1A,Fam131a,0.353,0.254,1.38976378,0.436868122,0.015610519
PVT-1A,Chst10,0.618,0.515,1.2,0.29403544,0.016056849
PVT-1A,Afap1l1,0.137,0.076,1.802631579,0.810948044,0.016179108
PVT-1A,Ell2,0.306,0.39,0.784615385,-0.740590896,0.01669358
PVT-1A,Sned1,0.395,0.3,1.316666667,0.46414528,0.016909682
PVT-1A,Secisbp2l,0.464,0.557,0.833034111,-0.427598167,0.016939515
PVT-1A,Gypa,0.023,0.076,0.302631579,-1.800076754,0.017231616
PVT-1A,Zfand4,0.404,0.3,1.346666667,0.379059343,0.017269234
PVT-1A,Fam102b,0.515,0.416,1.237980769,0.407270759,0.017363452
PVT-1A,Mtcl1,0.885,0.85,1.041176471,0.211235767,0.017427595
PVT-1A,Slc10a7,0.585,0.48,1.21875,0.303404368,0.017616336
PVT-1A,Tulp4,0.77,0.828,0.929951691,-0.341528328,0.017651598
PVT-1A,Efnb3,0.229,0.149,1.536912752,0.605859518,0.017791802
PVT-1A,Adamts18,0.068,0.137,0.496350365,-1.304349006,0.017988835
PVT-1A,Sorcs3,0.831,0.845,0.983431953,-0.445401226,0.018551997
PVT-1A,Pfkp,0.74,0.804,0.92039801,-0.301955327,0.018614999
PVT-1A,Lrrn1,0.332,0.422,0.786729858,-0.555921188,0.018937398
PVT-1A,Smc2,0.359,0.266,1.34962406,0.528872187,0.019401501
PVT-1A,Idh2,0.558,0.469,1.189765458,0.366332448,0.019705564
PVT-1A,Osbpl2,0.628,0.548,1.145985401,0.351984962,0.019731804
PVT-1A,Atp8b5,0.16,0.095,1.684210526,0.804405198,0.020550323
PVT-1A,Dsc2,0.175,0.106,1.650943396,0.691063725,0.021333618
PVT-1A,Prmt8,0.636,0.542,1.173431734,0.302951715,0.021685571
PVT-1A,Kcna6,0.677,0.591,1.145516074,0.300456719,0.022050625
PVT-1A,Tbc1d4,0.496,0.385,1.288311688,0.373424045,0.022948189
PVT-1A,Cnih3,0.046,0.107,0.429906542,-1.534240292,0.024049667
PVT-1A,Pde6h,0.069,0.029,2.379310345,1.109667839,0.024544187
PVT-1A,C79798,0.015,0.063,0.238095238,-2.281969228,0.024761102
PVT-1A,St6galnac5,0.985,0.981,1.004077472,0.125752432,0.026059309
PVT-1A,Ntrk3,0.98,0.957,1.024033438,-0.278110455,0.026288464
PVT-1A,Galntl6,0.575,0.674,0.853115727,-0.519678788,0.027451897
PVT-1A,Psg16,0.449,0.344,1.305232558,0.410991388,0.027611929
PVT-1A,Mgat5b,0.791,0.846,0.93498818,-0.278481347,0.028445192
PVT-1A,Adam19,0.459,0.355,1.292957746,0.341765028,0.028835332
PVT-1A,Rai2,0.123,0.204,0.602941176,-0.840338531,0.028906177
PVT-1A,Fam210b,0.33,0.241,1.369294606,0.537663541,0.028962978
PVT-1A,Pth2r,0.063,0.128,0.4921875,-1.421239245,0.029019784
PVT-1A,Mta3,0.382,0.467,0.817987152,-0.478473627,0.029159629
PVT-1A,Mthfd2,0.21,0.136,1.544117647,0.64375801,0.029341227
PVT-1A,Bbof1,0.687,0.603,1.139303483,0.322824077,0.029690552
PVT-1A,Neurl1b,0.379,0.28,1.353571429,0.409282517,0.030267723
PVT-1A,Gas7,0.154,0.236,0.652542373,-0.871642278,0.030430819
PVT-1A,Itgb8,0.272,0.187,1.454545455,0.471104704,0.030719678
PVT-1A,Slc24a5,0.564,0.459,1.22875817,0.329512661,0.030743218
PVT-1A,Pnrc1,0.484,0.376,1.287234043,0.308447703,0.03209626
PVT-1A,Hectd4,0.994,0.984,1.010162602,0.136126302,0.032527429
PVT-1A,Eaf2,0.398,0.299,1.331103679,0.418594933,0.033012962
PVT-1A,Rgs4,0.261,0.176,1.482954545,0.443733402,0.033216102
PVT-1A,Aldoa,0.714,0.761,0.938239159,-0.384885129,0.033327012
PVT-1A,Cldn34c1,0.167,0.101,1.653465347,0.68590202,0.03350782
PVT-1A,Rph3al,0.293,0.206,1.422330097,0.489429863,0.034502355
PVT-1A,Tfcp2l1,0.057,0.022,2.590909091,1.477660087,0.034557226
PVT-1A,Snx10,0.883,0.827,1.067714631,0.200206005,0.034703244
PVT-1A,Mbtps1,0.493,0.396,1.244949495,0.350833097,0.034732533
PVT-1A,Cbln4,0.223,0.146,1.52739726,0.590049122,0.034922157
PVT-1A,Pde10a,0.995,0.996,0.998995984,-0.405733243,0.0349863
PVT-1A,Gnal,0.661,0.723,0.914246196,-0.347001124,0.03705478
PVT-1A,Slk,0.402,0.478,0.841004184,-0.517522897,0.037823301
PVT-1A,Kcnk10,0.59,0.691,0.853835022,-0.28570946,0.038737429
PVT-1A,Tiam2,0.126,0.203,0.620689655,-0.940465595,0.038773194
PVT-1A,Ndst3,0.948,0.935,1.013903743,-0.298830872,0.038782251
PVT-1A,Pxylp1,0.008,0.049,0.163265306,-2.615824971,0.039286281
PVT-1A,Sdk2,0.928,0.897,1.034559643,0.183074674,0.040177766
PVT-1A,Phf21b,0.037,0.093,0.397849462,-1.612018842,0.040851035
PVT-1A,Fkbp9,0.029,0.083,0.34939759,-1.600825544,0.04109576
PVT-1A,Ivns1abp,0.485,0.389,1.246786632,0.356004053,0.043300408
PVT-1A,Kcna1,0.16,0.24,0.666666667,-0.863313022,0.043572078
PVT-1A,Tspan5,0.8,0.837,0.955794504,-0.327249884,0.044244966
PVT-1A,Calm1,0.974,0.982,0.99185336,-0.226765972,0.044474747
PVT-1A,Tmem181a,0.207,0.295,0.701694915,-0.626964713,0.044491863
PVT-1A,Cpne5,0.097,0.168,0.577380952,-1.05063339,0.045671989
PVT-1A,Hrh3,0.647,0.556,1.163669065,0.2876142,0.048714564
PVT-1A,Fat3,0.998,0.991,1.007063572,0.114327446,0.048886595
PVT-1B,Tenm3,0.92,0.987,0.932117528,-1.165002118,4.30E-58
PVT-1B,Prr16,0.871,0.977,0.891504606,-1.177927532,3.34E-56
PVT-1B,Nrxn3,0.995,0.943,1.05514316,0.782486074,1.01E-55
PVT-1B,Pde10a,1,0.995,1.005025126,0.884046248,1.20E-53
PVT-1B,Shisa9,1,0.995,1.005025126,0.533144518,2.72E-53
PVT-1B,Cacna2d3,0.99,0.948,1.044303797,0.761375107,2.07E-51
PVT-1B,Pde4d,1,1,1,0.486949747,2.07E-49
PVT-1B,Lhfpl3,1,1,1,0.450054508,1.87E-46
PVT-1B,Rgs7,1,0.999,1.001001001,0.472128985,1.28E-45
PVT-1B,Pcdh15,0.512,0.784,0.653061224,-2.012656951,1.81E-45
PVT-1B,Fgf12,1,1,1,0.402279913,2.51E-45
PVT-1B,Crybg1,0.415,0.131,3.167938931,1.728688836,8.12E-45
PVT-1B,Ctnna2,1,1,1,0.364305144,5.92E-43
PVT-1B,Edil3,0.815,0.95,0.857894737,-0.993593551,6.78E-43
PVT-1B,Rimbp2,1,0.993,1.007049345,0.541770021,1.07E-41
PVT-1B,Plcg2,0.32,0.09,3.555555556,2.154682223,4.53E-40
PVT-1B,Gulp1,0.966,0.704,1.372159091,0.763756935,2.57E-39
PVT-1B,Htr2c,0.978,0.876,1.116438356,0.848957012,3.96E-39
PVT-1B,Cntnap4,0.939,0.732,1.282786885,0.796319688,1.32E-35
PVT-1B,Glis1,0.707,0.376,1.880319149,1.034463683,1.51E-35
PVT-1B,Lrrc4c,0.995,0.977,1.018423746,0.718108088,1.65E-34
PVT-1B,Oprm1,0.973,0.887,1.096956032,0.627479546,4.25E-32
